"","Term","Ont","N","DE","P.DE"
"864","negative regulation of intracellular signal transduction","BP",527,21,0.0118235657798461
"865","regulation of myeloid cell differentiation","BP",215,11,0.0119070568148474
"866","organ growth","BP",215,11,0.0119070568148474
"867","isoprenoid metabolic process","BP",82,6,0.0119245576979062
"868","cell-cell signaling by wnt","BP",430,18,0.0119995067416166
"869","heart development","BP",628,24,0.0120190032663922
"870","protein-containing complex remodeling","BP",21,3,0.0120378980280105
"871","lymph vessel morphogenesis","BP",21,3,0.0120378980280105
"872","sulfur compound catabolic process","BP",21,3,0.0120378980280105
"873","parasympathetic nervous system development","BP",21,3,0.0120378980280105
"874","prostaglandin transport","BP",21,3,0.0120378980280105
"875","CD4-positive or CD8-positive, alpha-beta T cell lineage commitment","BP",21,3,0.0120378980280105
"876","tongue development","BP",21,3,0.0120378980280105
"877","regulation of hormone biosynthetic process","BP",39,4,0.0123207846050519
"878","regulation of glial cell proliferation","BP",39,4,0.0123207846050519
"879","female pregnancy","BP",160,9,0.0124434351258766
"880","tumor necrosis factor-mediated signaling pathway","BP",60,5,0.0125486352002507
"881","neuron projection regeneration","BP",60,5,0.0125486352002507
"882","chemokine-mediated signaling pathway","BP",60,5,0.0125486352002507
"883","positive regulation of protein complex assembly","BP",246,12,0.012578838231134
"884","osteoclast differentiation","BP",108,7,0.0128765991355949
"885","cellular response to organic substance","BP",2433,73,0.0128998849545271
"886","positive regulation of calcium ion transport","BP",134,8,0.0129191049126726
"887","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",189,10,0.0129641270028788
"888","hormone metabolic process","BP",218,11,0.0130956600466915
"889","positive regulation of cytoskeleton organization","BP",218,11,0.0130956600466915
"890","development of primary sexual characteristics","BP",218,11,0.0130956600466915
"891","outflow tract morphogenesis","BP",84,6,0.0133224104843847
"892","brain development","BP",634,24,0.0133553282863898
"893","embryo development ending in birth or egg hatching","BP",841,30,0.0133748798795875
"894","multi-multicellular organism process","BP",190,10,0.013411414152475
"895","positive regulation of reactive oxygen species biosynthetic process","BP",61,5,0.0134160360862719
"896","positive regulation of fat cell differentiation","BP",61,5,0.0134160360862719
"897","positive regulation of morphogenesis of an epithelium","BP",40,4,0.0134450298657101
"898","regulation of renal system process","BP",40,4,0.0134450298657101
"899","skeletal muscle contraction","BP",40,4,0.0134450298657101
"900","icosanoid biosynthetic process","BP",40,4,0.0134450298657101
"901","regulation of Rho protein signal transduction","BP",135,8,0.0134643077605131
"902","regulation of fat cell differentiation","BP",135,8,0.0134643077605131
"903","collagen metabolic process","BP",109,7,0.013494780501247
"904","positive regulation of reactive oxygen species metabolic process","BP",109,7,0.013494780501247
"905","cellular nitrogen compound metabolic process","BP",5547,151,0.0135774245469299
"906","sulfur amino acid catabolic process","BP",8,2,0.0136590451295946
"907","smooth muscle cell chemotaxis","BP",8,2,0.0136590451295946
"908","positive regulation of prostaglandin biosynthetic process","BP",8,2,0.0136590451295946
"909","atrial cardiac muscle tissue morphogenesis","BP",8,2,0.0136590451295946
"910","positive regulation of NMDA glutamate receptor activity","BP",8,2,0.0136590451295946
"911","regulation of artery morphogenesis","BP",8,2,0.0136590451295946
"912","positive regulation of cell migration by vascular endothelial growth factor signaling pathway","BP",8,2,0.0136590451295946
"913","iron ion import","BP",8,2,0.0136590451295946
"914","protein localization to ciliary transition zone","BP",8,2,0.0136590451295946
"915","response to auditory stimulus","BP",22,3,0.0137029468571413
"916","regulation of membrane protein ectodomain proteolysis","BP",22,3,0.0137029468571413
"917","positive regulation of intracellular steroid hormone receptor signaling pathway","BP",22,3,0.0137029468571413
"918","paraxial mesoderm development","BP",22,3,0.0137029468571413
"919","positive regulation of protein serine/threonine kinase activity","BP",279,13,0.0137036257925181
"920","ion transmembrane transport","BP",878,31,0.0137553513167859
"921","cellular response to growth factor stimulus","BP",602,23,0.0137906876762472
"922","regulation of smooth muscle cell proliferation","BP",163,9,0.0139121850683823
"923","hormone transport","BP",373,16,0.0139871099661674
"924","neuron death","BP",405,17,0.0140180441068752
"925","astrocyte differentiation","BP",85,6,0.0140626028906969
"926","protein localization to synapse","BP",85,6,0.0140626028906969
"927","inorganic cation import across plasma membrane","BP",85,6,0.0140626028906969
"928","inorganic ion import across plasma membrane","BP",85,6,0.0140626028906969
"929","regulation of leukocyte mediated immunity","BP",250,12,0.0141301501757485
"930","acidic amino acid transport","BP",62,5,0.0143229518640359
"931","cell projection organization","BP",1572,50,0.0143865891140631
"932","negative regulation of cell motility","BP",281,13,0.014461970372945
"933","central nervous system neuron axonogenesis","BP",41,4,0.0146324434644964
"934","membrane protein ectodomain proteolysis","BP",41,4,0.0146324434644964
"935","negative regulation of insulin receptor signaling pathway","BP",41,4,0.0146324434644964
"936","muscle tissue development","BP",472,19,0.0146451736739867
"937","monosaccharide transmembrane transport","BP",111,7,0.0147944591581539
"938","steroid hormone mediated signaling pathway","BP",111,7,0.0147944591581539
"939","regulation of actin cytoskeleton organization","BP",344,15,0.0148573461812395
"940","actin filament bundle assembly","BP",165,9,0.0149601537680918
"941","cell cycle arrest","BP",138,8,0.0152007148929443
"942","positive regulation of chemokine production","BP",63,5,0.015270109685508
"943","positive regulation of I-kappaB kinase/NF-kappaB signaling","BP",112,7,0.0154766760462721
"944","alpha-beta T cell differentiation","BP",112,7,0.0154766760462721
"945","carbohydrate transmembrane transport","BP",112,7,0.0154766760462721
"946","regulation of postsynaptic membrane potential","BP",112,7,0.0154766760462721
"947","CD4-positive, alpha-beta T cell cytokine production","BP",23,3,0.0154922819076795
"948","mesodermal cell differentiation","BP",23,3,0.0154922819076795
"949","regulation of T-helper 17 type immune response","BP",23,3,0.0154922819076795
"950","cellular carbohydrate metabolic process","BP",284,13,0.0156592281652944
"951","regulation of canonical Wnt signaling pathway","BP",224,11,0.0157403723107969
"952","Rho protein signal transduction","BP",195,10,0.0158234525865784
"953","positive regulation of fatty acid metabolic process","BP",42,4,0.0158840981917173
"954","regulation of neutrophil migration","BP",42,4,0.0158840981917173
"955","glycosphingolipid metabolic process","BP",42,4,0.0158840981917173
"956","positive regulation of hydrolase activity","BP",510,20,0.0161321153806157
"957","nucleic acid metabolic process","BP",4277,119,0.0161373393781357
"958","female gonad development","BP",113,7,0.0161809503917821
"959","T cell activation involved in immune response","BP",113,7,0.0161809503917821
"960","regulation of epithelial cell migration","BP",225,11,0.0162174771411069
"961","central nervous system neuron differentiation","BP",225,11,0.0162174771411069
"962","regulation of lymphocyte proliferation","BP",225,11,0.0162174771411069
"963","CD4-positive, alpha-beta T cell differentiation involved in immune response","BP",64,5,0.0162582125632849
"964","positive regulation of nucleocytoplasmic transport","BP",64,5,0.0162582125632849
"965","cell junction organization","BP",255,12,0.0162692531043237
"966","stem cell proliferation","BP",140,8,0.0164450249121287
"967","regulation of chemokine production","BP",88,6,0.0164542450350231
"968","actin filament bundle organization","BP",168,9,0.0166395506422604
"969","smooth muscle cell proliferation","BP",168,9,0.0166395506422604
"970","positive regulation of ion transmembrane transporter activity","BP",114,7,0.0169076306458553
"971","carbohydrate metabolic process","BP",546,21,0.0169139515428161
"972","response to lipid","BP",822,29,0.0169728931971635
"973","endochondral bone growth","BP",43,4,0.0172009929608156
"974","positive regulation of protein import into nucleus","BP",43,4,0.0172009929608156
"975","cellular protein metabolic process","BP",4569,126,0.0172020657660712
"976","regulation of mononuclear cell proliferation","BP",227,11,0.0172040769954959
"977","response to growth factor","BP",615,23,0.0172866940128057
"978","alpha-beta T cell differentiation involved in immune response","BP",65,5,0.0172879387182639
"979","regulation of hepatic stellate cell activation","BP",9,2,0.0172946393190127
"980","positive regulation of vasculogenesis","BP",9,2,0.0172946393190127
"981","regulation of saliva secretion","BP",9,2,0.0172946393190127
"982","hypotonic response","BP",9,2,0.0172946393190127
"983","positive regulation of penile erection","BP",9,2,0.0172946393190127
"984","regulation of cellular response to osmotic stress","BP",9,2,0.0172946393190127
"985","galactose metabolic process","BP",9,2,0.0172946393190127
"986","atrial cardiac muscle tissue development","BP",9,2,0.0172946393190127
"987","positive regulation of axon guidance","BP",9,2,0.0172946393190127
"988","regulation of dendritic cell chemotaxis","BP",9,2,0.0172946393190127
"989","cellular chloride ion homeostasis","BP",9,2,0.0172946393190127
"990","regulation of branching morphogenesis of a nerve","BP",9,2,0.0172946393190127
"991","neutrophil differentiation","BP",9,2,0.0172946393190127
"992","regulation of protein localization to early endosome","BP",9,2,0.0172946393190127
"993","positive regulation of protein localization to early endosome","BP",9,2,0.0172946393190127
"994","observational learning","BP",9,2,0.0172946393190127
"995","positive regulation of interleukin-12 biosynthetic process","BP",9,2,0.0172946393190127
"996","regulation of chromatin assembly or disassembly","BP",9,2,0.0172946393190127
"997","regulation of epithelial cell apoptotic process","BP",89,6,0.0173100911207176
"998","muscle tissue morphogenesis","BP",89,6,0.0173100911207176
"999","regulation of cellular response to insulin stimulus","BP",89,6,0.0173100911207176
"1000","protein-lipid complex assembly","BP",24,3,0.0174068543350703
"1001","ovulation","BP",24,3,0.0174068543350703
"1002","negative regulation of tissue remodeling","BP",24,3,0.0174068543350703
"1003","fluid transport","BP",24,3,0.0174068543350703
"1004","glutamine family amino acid catabolic process","BP",24,3,0.0174068543350703
"1005","integrin activation","BP",24,3,0.0174068543350703
"1006","response to interferon-alpha","BP",24,3,0.0174068543350703
"1007","endothelial cell migration","BP",198,10,0.0174172874036852
"1008","carbohydrate derivative metabolic process","BP",1003,34,0.01769375977769
"1009","regulation of osteoblast differentiation","BP",142,8,0.0177611823750049
"1010","cellular response to toxic substance","BP",170,9,0.017833216609136
"1011","striated muscle tissue development","BP",449,18,0.0178415415558085
"1012","response to peptide","BP",384,16,0.0178903781252636
"1013","adaptive immune response","BP",583,22,0.0179045997983496
"1014","intracellular receptor signaling pathway","BP",199,10,0.0179740122773086
"1015","regulation of blood vessel endothelial cell migration","BP",90,6,0.0181960325512597
"1016","extrinsic apoptotic signaling pathway","BP",229,11,0.0182347885833419
"1017","alpha-beta T cell activation involved in immune response","BP",66,5,0.018359940979688
"1018","development of primary female sexual characteristics","BP",116,7,0.0184295775262611
"1019","import across plasma membrane","BP",116,7,0.0184295775262611
"1020","positive regulation of JNK cascade","BP",143,8,0.018446856202732
"1021","smoothened signaling pathway","BP",143,8,0.018446856202732
"1022","negative regulation of ion transport","BP",171,9,0.0184528886213761
"1023","regulation of reactive oxygen species metabolic process","BP",200,10,0.0185437378817601
"1024","positive regulation of protein tyrosine kinase activity","BP",44,4,0.0185840527722072
"1025","positive chemotaxis","BP",44,4,0.0185840527722072
"1026","bicellular tight junction assembly","BP",44,4,0.0185840527722072
"1027","negative regulation of neuron differentiation","BP",260,12,0.0186442744957659
"1028","forebrain development","BP",386,16,0.0186820728313184
"1029","gliogenesis","BP",323,14,0.019063649886043
"1030","negative regulation of cell development","BP",387,16,0.0190878539607735
"1031","response to organophosphorus","BP",91,6,0.0191125205819664
"1032","cellular amino acid metabolic process","BP",261,12,0.0191488743744718
"1033","memory","BP",144,8,0.0191512689747916
"1034","learning or memory","BP",292,13,0.019221554778987
"1035","positive regulation of erythrocyte differentiation","BP",25,3,0.0194473305200059
"1036","retinoic acid metabolic process","BP",25,3,0.0194473305200059
"1037","adrenal gland development","BP",25,3,0.0194473305200059
"1038","negative regulation of interleukin-2 production","BP",25,3,0.0194473305200059
"1039","negative regulation of axonogenesis","BP",67,5,0.0194748462366591
"1040","response to axon injury","BP",67,5,0.0194748462366591
"1041","endothelial cell development","BP",67,5,0.0194748462366591
"1042","regulation of neuronal synaptic plasticity","BP",67,5,0.0194748462366591
"1043","positive regulation of neural precursor cell proliferation","BP",67,5,0.0194748462366591
"1044","plasma membrane bounded cell projection organization","BP",1526,48,0.0194940764556394
"1045","response to peptide hormone","BP",324,14,0.0195189508242916
"1046","skeletal system morphogenesis","BP",262,12,0.0196636096419102
"1047","regulation of neurological system process","BP",173,9,0.0197389255436584
"1048","regulation of stress-activated MAPK cascade","BP",232,11,0.0198659731296759
"1049","regeneration","BP",145,8,0.0198746735414355
"1050","establishment of endothelial barrier","BP",45,4,0.0200341288448823
"1051","negative regulation of cellular response to insulin stimulus","BP",45,4,0.0200341288448823
"1052","tight junction assembly","BP",45,4,0.0200341288448823
"1053","transmembrane receptor protein serine/threonine kinase signaling pathway","BP",357,15,0.0200373320247911
"1054","bone morphogenesis","BP",118,7,0.020045200359259
"1055","negative regulation of cell death","BP",1049,35,0.0200825635505216
"1056","dendrite development","BP",294,13,0.0202004744965118
"1057","positive regulation of transmembrane transport","BP",233,11,0.0204329442847285
"1058","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","BP",233,11,0.0204329442847285
"1059","regulation of ossification","BP",233,11,0.0204329442847285
"1060","positive regulation of osteoblast differentiation","BP",68,5,0.0206332549401494
"1061","monocarboxylic acid biosynthetic process","BP",264,12,0.0207239454487005
"1062","cell-matrix adhesion","BP",204,10,0.0209559304991142
"1063","regulation of stress-activated protein kinase signaling cascade","BP",234,11,0.0210117618634766
"1064","regulation of JUN kinase activity","BP",93,6,0.0210388840777785
"1065","negative regulation of neuron projection development","BP",175,9,0.0210885516188605
"1066","regulation of interleukin-2 secretion","BP",10,2,0.0212902868458237
"1067","regulation of synapse structural plasticity","BP",10,2,0.0212902868458237
"1068","follicle-stimulating hormone secretion","BP",10,2,0.0212902868458237
"1069","negative regulation of urine volume","BP",10,2,0.0212902868458237
"1070","positive regulation of adenylate cyclase activity","BP",10,2,0.0212902868458237
"1071","fibroblast growth factor production","BP",10,2,0.0212902868458237
"1072","regulation of fibroblast growth factor production","BP",10,2,0.0212902868458237
"1073","response to interleukin-18","BP",10,2,0.0212902868458237
"1074","positive regulation of unsaturated fatty acid biosynthetic process","BP",10,2,0.0212902868458237
"1075","positive regulation of pseudopodium assembly","BP",10,2,0.0212902868458237
"1076","regulation of T-helper 2 cell cytokine production","BP",10,2,0.0212902868458237
"1077","positive regulation of MHC class II biosynthetic process","BP",10,2,0.0212902868458237
"1078","regulation of tau-protein kinase activity","BP",10,2,0.0212902868458237
"1079","positive regulation of extracellular matrix disassembly","BP",10,2,0.0212902868458237
"1080","learned vocalization behavior or vocal learning","BP",10,2,0.0212902868458237
"1081","exocyst localization","BP",10,2,0.0212902868458237
"1082","regulation of epithelial cell differentiation","BP",147,8,0.0213794532105838
"1083","female sex differentiation","BP",147,8,0.0213794532105838
"1084","positive regulation of interleukin-8 production","BP",46,4,0.0215519989037709
"1085","detoxification","BP",46,4,0.0215519989037709
"1086","regulation of axon guidance","BP",46,4,0.0215519989037709
"1087","interleukin-6 secretion","BP",46,4,0.0215519989037709
"1088","bone growth","BP",46,4,0.0215519989037709
"1089","regulation of adaptive immune response","BP",205,10,0.0215931117486063
"1090","positive regulation of long-term synaptic potentiation","BP",26,3,0.0216141086922544
"1091","regulation of urine volume","BP",26,3,0.0216141086922544
"1092","positive regulation of positive chemotaxis","BP",26,3,0.0216141086922544
"1093","negative regulation of biomineral tissue development","BP",26,3,0.0216141086922544
"1094","one-carbon metabolic process","BP",26,3,0.0216141086922544
"1095","nitric oxide mediated signal transduction","BP",26,3,0.0216141086922544
"1096","uterus development","BP",26,3,0.0216141086922544
"1097","hepatocyte proliferation","BP",26,3,0.0216141086922544
"1098","epithelial cell proliferation involved in liver morphogenesis","BP",26,3,0.0216141086922544
"1099","male gonad development","BP",120,7,0.021757091926714
"1100","vitamin metabolic process","BP",69,5,0.0218357406544837
"1101","negative regulation of nervous system development","BP",361,15,0.0218787151611124
"1102","vasculogenesis","BP",94,6,0.0220496036446281
"1103","regulation of heart contraction","BP",177,9,0.0225033373756136
"1104","positive regulation of cell activation","BP",461,18,0.0225362127863784
"1105","positive regulation of transporter activity","BP",121,7,0.0226499221484682
"1106","development of primary male sexual characteristics","BP",121,7,0.0226499221484682
"1107","insulin receptor signaling pathway","BP",121,7,0.0226499221484682
"1108","regulation of plasma membrane bounded cell projection organization","BP",772,27,0.0228650404112264
"1109","drug transport","BP",207,10,0.022909550761068
"1110","leukocyte proliferation","BP",331,14,0.0229398167849073
"1111","negative regulation of inflammatory response","BP",149,8,0.0229631510483699
"1112","negative regulation of cell migration","BP",268,12,0.0229712613332408
"1113","response to chemokine","BP",70,5,0.0230828496572138
"1114","cellular response to chemokine","BP",70,5,0.0230828496572138
"1115","positive regulation of T cell differentiation","BP",95,6,0.0230925573724016
"1116","regulation of systemic arterial blood pressure by hormone","BP",47,4,0.0231383676114729
"1117","positive regulation of the force of heart contraction by norepinephrine","BP",1,1,0.023152891037987
"1118","male somatic sex determination","BP",1,1,0.023152891037987
"1119","prostate induction","BP",1,1,0.023152891037987
"1120","prostate field specification","BP",1,1,0.023152891037987
"1121","activation of prostate induction by androgen receptor signaling pathway","BP",1,1,0.023152891037987
"1122","negative regulation of cellular response to heat","BP",1,1,0.023152891037987
"1123","induction by virus of host cell-cell fusion","BP",1,1,0.023152891037987
"1124","helper T cell enhancement of adaptive immune response","BP",1,1,0.023152891037987
"1125","drug transport across blood-nerve barrier","BP",1,1,0.023152891037987
"1126","angioblast cell migration","BP",1,1,0.023152891037987
"1127","animal organ senescence","BP",1,1,0.023152891037987
"1128","negative regulation of chronic inflammatory response to non-antigenic stimulus","BP",1,1,0.023152891037987
"1129","multiple spine synapse organization","BP",1,1,0.023152891037987
"1130","multiple spine synapse organization, single dendrite","BP",1,1,0.023152891037987
"1131","insecticide metabolic process","BP",1,1,0.023152891037987
"1132","dibenzo-p-dioxin catabolic process","BP",1,1,0.023152891037987
"1133","nodal receptor complex assembly","BP",1,1,0.023152891037987
"1134","regulation of nodal receptor complex assembly","BP",1,1,0.023152891037987
"1135","negative regulation of nodal receptor complex assembly","BP",1,1,0.023152891037987
"1136","posterior midgut development","BP",1,1,0.023152891037987
"1137","enteric smooth muscle cell differentiation","BP",1,1,0.023152891037987
"1138","neuron projection retraction","BP",1,1,0.023152891037987
"1139","regulation of neuron remodeling","BP",1,1,0.023152891037987
"1140","negative regulation of neuron remodeling","BP",1,1,0.023152891037987
"1141","positive regulation of neutrophil mediated killing of bacterium","BP",1,1,0.023152891037987
"1142","positive regulation of neutrophil mediated killing of gram-negative bacterium","BP",1,1,0.023152891037987
"1143","negative regulation of chemokine secretion","BP",1,1,0.023152891037987
"1144","cerebellum vasculature morphogenesis","BP",1,1,0.023152891037987
"1145","glutamate decarboxylation to succinate","BP",1,1,0.023152891037987
"1146","hematopoietic stem cell migration to bone marrow","BP",1,1,0.023152891037987
"1147","basophil differentiation","BP",1,1,0.023152891037987
"1148","galactitol metabolic process","BP",1,1,0.023152891037987
"1149","response to 1-oleoyl-sn-glycerol 3-phosphate","BP",1,1,0.023152891037987
"1150","cellular response to 1-oleoyl-sn-glycerol 3-phosphate","BP",1,1,0.023152891037987
"1151","respiratory basal cell differentiation","BP",1,1,0.023152891037987
"1152","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response","BP",1,1,0.023152891037987
"1153","regulation of carbohydrate phosphatase activity","BP",1,1,0.023152891037987
"1154","regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response","BP",1,1,0.023152891037987
"1155","positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response","BP",1,1,0.023152891037987
"1156","positive regulation of iron ion transport","BP",1,1,0.023152891037987
"1157","positive regulation of iron ion transmembrane transport","BP",1,1,0.023152891037987
"1158","regulation of fructose 1,6-bisphosphate 1-phosphatase activity","BP",1,1,0.023152891037987
"1159","positive regulation of fructose 1,6-bisphosphate 1-phosphatase activity","BP",1,1,0.023152891037987
"1160","regulation of fructose 1,6-bisphosphate metabolic process","BP",1,1,0.023152891037987
"1161","positive regulation of fructose 1,6-bisphosphate metabolic process","BP",1,1,0.023152891037987
"1162","positive regulation of ferrous iron import across plasma membrane","BP",1,1,0.023152891037987
"1163","regulation of myosin light chain kinase activity","BP",1,1,0.023152891037987
"1164","positive regulation of myosin light chain kinase activity","BP",1,1,0.023152891037987
"1165","hepatic immune response","BP",1,1,0.023152891037987
"1166","interleukin-17 biosynthetic process","BP",1,1,0.023152891037987
"1167","regulation of interleukin-17 biosynthetic process","BP",1,1,0.023152891037987
"1168","positive regulation of interleukin-17 biosynthetic process","BP",1,1,0.023152891037987
"1169","metanephric glomerular basement membrane development","BP",1,1,0.023152891037987
"1170","endothelial cell-matrix adhesion via fibronectin","BP",1,1,0.023152891037987
"1171","regulation of endothelial cell-matrix adhesion via fibronectin","BP",1,1,0.023152891037987
"1172","negative regulation of endothelial cell-matrix adhesion via fibronectin","BP",1,1,0.023152891037987
"1173","hypochlorous acid metabolic process","BP",1,1,0.023152891037987
"1174","hypochlorous acid biosynthetic process","BP",1,1,0.023152891037987
"1175","smooth muscle hyperplasia","BP",1,1,0.023152891037987
"1176","vitamin E biosynthetic process","BP",1,1,0.023152891037987
"1177","hepatocyte cell migration","BP",1,1,0.023152891037987
"1178","branching involved in pancreas morphogenesis","BP",1,1,0.023152891037987
"1179","acinar cell differentiation","BP",1,1,0.023152891037987
"1180","positive regulation of forebrain neuron differentiation","BP",1,1,0.023152891037987
"1181","response to non-ionic osmotic stress","BP",1,1,0.023152891037987
"1182","cellular response to non-ionic osmotic stress","BP",1,1,0.023152891037987
"1183","signal clustering","BP",1,1,0.023152891037987
"1184","hemangioblast cell differentiation","BP",1,1,0.023152891037987
"1185","atrioventricular bundle cell differentiation","BP",1,1,0.023152891037987
"1186","regulation of endocardial cushion to mesenchymal transition","BP",1,1,0.023152891037987
"1187","positive regulation of endocardial cushion to mesenchymal transition","BP",1,1,0.023152891037987
"1188","regulation of endocardial cushion to mesenchymal transition involved in heart valve formation","BP",1,1,0.023152891037987
"1189","positive regulation of endocardial cushion to mesenchymal transition involved in heart valve formation","BP",1,1,0.023152891037987
"1190","basophil chemotaxis","BP",1,1,0.023152891037987
"1191","retina blood vessel maintenance","BP",1,1,0.023152891037987
"1192","regulation of protein kinase D signaling","BP",1,1,0.023152891037987
"1193","positive regulation of protein kinase D signaling","BP",1,1,0.023152891037987
"1194","Spemann organizer formation at the anterior end of the primitive streak","BP",1,1,0.023152891037987
"1195","canonical Wnt signaling pathway involved in stem cell proliferation","BP",1,1,0.023152891037987
"1196","detection of tumor cell","BP",1,1,0.023152891037987
"1197","cellular response to tumor cell","BP",1,1,0.023152891037987
"1198","thermosensory behavior","BP",1,1,0.023152891037987
"1199","coenzyme A catabolic process","BP",1,1,0.023152891037987
"1200","proepicardium cell migration involved in pericardium morphogenesis","BP",1,1,0.023152891037987
"1201","protection of DNA demethylation of female pronucleus","BP",1,1,0.023152891037987
"1202","osteoclast maturation","BP",1,1,0.023152891037987
"1203","negative regulation of natural killer cell cytokine production","BP",1,1,0.023152891037987
"1204","lipid tube assembly involved in organelle fusion","BP",1,1,0.023152891037987
"1205","beta-alanine biosynthetic process","BP",1,1,0.023152891037987
"1206","beta-alanine biosynthetic process via 3-ureidopropionate","BP",1,1,0.023152891037987
"1207","hypoglossal nerve development","BP",1,1,0.023152891037987
"1208","hypoglossal nerve morphogenesis","BP",1,1,0.023152891037987
"1209","glycine betaine biosynthetic process from choline","BP",1,1,0.023152891037987
"1210","glycine betaine metabolic process","BP",1,1,0.023152891037987
"1211","glycine betaine biosynthetic process","BP",1,1,0.023152891037987
"1212","chemorepulsion of branchiomotor axon","BP",1,1,0.023152891037987
"1213","borate transport","BP",1,1,0.023152891037987
"1214","central nervous system interneuron axonogenesis","BP",1,1,0.023152891037987
"1215","proteolysis","BP",1657,51,0.0233712627936447
"1216","regulation of leukocyte proliferation","BP",238,11,0.0234481573890822
"1217","regulation of cellular component size","BP",397,16,0.0235258509467019
"1218","acute inflammatory response","BP",122,7,0.0235677471273893
"1219","regulation of T cell differentiation","BP",150,8,0.0237851896808278
"1220","regulation of gliogenesis","BP",150,8,0.0237851896808278
"1221","amino acid transport","BP",150,8,0.0237851896808278
"1222","trabecula formation","BP",27,3,0.023907334848868
"1223","regulation of positive chemotaxis","BP",27,3,0.023907334848868
"1224","hyaluronan metabolic process","BP",27,3,0.023907334848868
"1225","CD8-positive, alpha-beta T cell activation","BP",27,3,0.023907334848868
"1226","regulation of blood circulation","BP",239,11,0.0240881945397689
"1227","developmental growth involved in morphogenesis","BP",270,12,0.024160038165046
"1228","chemical synaptic transmission, postsynaptic","BP",96,6,0.0241681361794175
"1229","dephosphorylation","BP",366,15,0.024356666195747
"1230","T cell differentiation involved in immune response","BP",71,5,0.0243751005862634
"1231","regulation of tyrosine phosphorylation of STAT protein","BP",71,5,0.0243751005862634
"1232","regulation of striated muscle cell differentiation","BP",123,7,0.0245108623490764
"1233","negative regulation of epithelial cell differentiation","BP",48,4,0.0247938671335145
"1234","positive regulation of B cell mediated immunity","BP",48,4,0.0247938671335145
"1235","positive regulation of immunoglobulin mediated immune response","BP",48,4,0.0247938671335145
"1236","positive regulation of protein import","BP",48,4,0.0247938671335145
"1237","regulation of vesicle-mediated transport","BP",568,21,0.0248005413165419
"1238","regulation of neuron projection development","BP",603,22,0.0250214785738416
"1239","muscle organ morphogenesis","BP",97,6,0.0252767180101231
"1240","sulfur compound metabolic process","BP",272,12,0.025393406896494
"1241","regulation of neuron death","BP",368,15,0.0254045694674434
"1242","male sex differentiation","BP",152,8,0.0254908034708451
"1243","negative regulation of protein secretion","BP",152,8,0.0254908034708451
"1244","optic nerve development","BP",11,2,0.0256274273079739
"1245","hepatic stellate cell activation","BP",11,2,0.0256274273079739
"1246","negative regulation of endothelial cell differentiation","BP",11,2,0.0256274273079739
"1247","regulation of penile erection","BP",11,2,0.0256274273079739
"1248","vascular smooth muscle cell development","BP",11,2,0.0256274273079739
"1249","regulation of chronic inflammatory response","BP",11,2,0.0256274273079739
"1250","positive regulation of protein kinase C signaling","BP",11,2,0.0256274273079739
"1251","retinoic acid biosynthetic process","BP",11,2,0.0256274273079739
"1252","diterpenoid biosynthetic process","BP",11,2,0.0256274273079739
"1253","embryonic camera-type eye formation","BP",11,2,0.0256274273079739
"1254","regulation of pseudopodium assembly","BP",11,2,0.0256274273079739
"1255","regulation of epithelial cell proliferation involved in prostate gland development","BP",11,2,0.0256274273079739
"1256","regulation of prostaglandin biosynthetic process","BP",11,2,0.0256274273079739
"1257","post-embryonic camera-type eye development","BP",11,2,0.0256274273079739
"1258","regulation of eating behavior","BP",11,2,0.0256274273079739
"1259","regulation of branching involved in salivary gland morphogenesis","BP",11,2,0.0256274273079739
"1260","postsynaptic membrane assembly","BP",11,2,0.0256274273079739
"1261","basement membrane assembly","BP",11,2,0.0256274273079739
"1262","ganglioside biosynthetic process","BP",11,2,0.0256274273079739
"1263","interleukin-12 biosynthetic process","BP",11,2,0.0256274273079739
"1264","regulation of interleukin-12 biosynthetic process","BP",11,2,0.0256274273079739
"1265","negative regulation of T-helper 17 cell differentiation","BP",11,2,0.0256274273079739
"1266","trigeminal nerve development","BP",11,2,0.0256274273079739
"1267","regulation of hippo signaling","BP",11,2,0.0256274273079739
"1268","regulation of cell-substrate adhesion","BP",211,10,0.0257150911064818
"1269","sodium ion transport","BP",211,10,0.0257150911064818
"1270","regulation of cell projection organization","BP",781,27,0.0259759450143276
"1271","negative regulation of neurogenesis","BP",337,14,0.0262129590303273
"1272","positive regulation of alcohol biosynthetic process","BP",28,3,0.0263269179924965
"1273","central nervous system projection neuron axonogenesis","BP",28,3,0.0263269179924965
"1274","T cell lineage commitment","BP",28,3,0.0263269179924965
"1275","regulation of regulatory T cell differentiation","BP",28,3,0.0263269179924965
"1276","branching involved in salivary gland morphogenesis","BP",28,3,0.0263269179924965
"1277","liver morphogenesis","BP",28,3,0.0263269179924965
"1278","T-helper 17 cell differentiation","BP",28,3,0.0263269179924965
"1279","regulation of interleukin-6 production","BP",153,8,0.0263748292932939
