mgi_symbol_a,mgi_symbol_b,dip_id_a,dip_id_b,uniprot_id_a,uniprot_id_b,interaction_types,interaction_detection_methods,confidence_value
Arrb2,Akt1,DIP-36064N,DIP-736N,Q91YI4,P31750,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Insr,Akt1,DIP-41452N,DIP-736N,P15208,P31750,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Nedd4l,Scnn1b,DIP-48843N,DIP-40891N,Q8CFI0,Q9WU38,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Scnn1b,Raf1,DIP-40891N,DIP-31555N,Q9WU38,Q99N57,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Nedd4l,Raf1,DIP-48843N,DIP-31555N,Q8CFI0,Q99N57,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Tsc22d3,Raf1,DIP-48844N,DIP-31555N,Q9Z2S7,Q99N57,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Raf1,Sgk1,DIP-31555N,DIP-48845N,Q99N57,Q9WVC6,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Sgk1,Tsc22d3,DIP-48845N,DIP-48844N,Q9WVC6,Q9Z2S7,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Scnn1b,Tsc22d3,DIP-40891N,DIP-48844N,Q9WU38,Q9Z2S7,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Nedd4l,Sgk1,DIP-48843N,DIP-48845N,Q8CFI0,Q9WVC6,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Nedd4l,Tsc22d3,DIP-48843N,DIP-48844N,Q8CFI0,Q9Z2S7,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Irak4,Myd88,DIP-48996N,DIP-34957N,Q8R4K2,P22366,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Myd88,Irak2,DIP-34957N,DIP-49685N,P22366,Q8CFA1,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Myd88,Traf6,DIP-34957N,DIP-29812N,P22366,P70196,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Myd88,Traf3,DIP-34957N,DIP-34050N,P22366,Q60803,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Myd88,Tnip1,DIP-34957N,DIP-59199N,P22366,Q9WUU8,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Tnip1,Tnfaip3,DIP-59199N,DIP-41120N,Q9WUU8,Q60769,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Src,Akt1,DIP-31071N,DIP-736N,P05480,P31750,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Kif27,Stk36,DIP-59753N,DIP-59751N,Q7M6Z4,Q69ZM6,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Mid1ip1,Mat1a,DIP-31345N,DIP-45874N,Q9CQ20,Q91X83,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Mat2a,Mid1ip1,DIP-59526N,DIP-31345N,Q3THS6,Q9CQ20,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Mid1ip1,Thrsp,DIP-31345N,DIP-59527N,Q9CQ20,Q62264,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Trim24,Trim28,DIP-31476N,DIP-31477N,Q64127,Q62318,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Vta1,Trim28,DIP-54810N,DIP-31477N,Q9CR26,Q62318,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Shh,Gas1,DIP-48537N,DIP-59801N,Q62226,Q01721,MI:0407(direct interaction),MI:0096(pull down),dip-quality-status:core
Parl,Hax1,DIP-59825N,DIP-49445N,Q5XJY4,O35387,MI:0218(physical interaction)|MI:0218(physical interaction),MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Hax1,Htra2,DIP-49445N,DIP-41272N,O35387,Q9JIY5,MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Ptpn6,Pirb,DIP-41455N,DIP-59889N,P29351,P97484,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ppp3ca,Crtc2,DIP-31543N,DIP-46162N,P63328,Q3U182,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Crtc2,Itpr1,DIP-46162N,DIP-32243N,Q3U182,P11881,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Plxna1,Trem2,DIP-29745N,DIP-59896N,P70206,Q99NH8,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Nrp1,Plxna1,DIP-39360N,DIP-29745N,P97333,P70206,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Plxna1,Tyrobp,DIP-29745N,DIP-29746N,P70206,O54885,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tbk1,Tbk1,DIP-29880N,DIP-29880N,Q9WUN2,Q9WUN2,MI:0217(phosphorylation reaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0217(phosphorylation reaction)|MI:0217(phosphorylation reaction),MI:0424(protein kinase assay)|MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0424(protein kinase assay)|MI:0424(protein kinase assay),dip-quality-status:core
Tmem173,Tbk1,DIP-59959N,DIP-29880N,Q3TBT3,Q9WUN2,MI:0217(phosphorylation reaction),MI:0424(protein kinase assay),dip-quality-status:core
Ptpn11,Pirb,DIP-29669N,DIP-59889N,P35235,P97484,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Rnf43,Fzd5,DIP-59915N,DIP-41260N,Q5NCP0,Q9EQD0,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Mapk3,Klf4,DIP-31078N,DIP-59920N,Q63844,Q60793,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Mapk1,Klf4,DIP-661N,DIP-59920N,P63085,Q60793,MI:0915(physical association),MI:0018(two hybrid),dip-quality-status:core
Nos2,Rela,DIP-31080N,DIP-6219N,P29477,Q04207,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Hsp90aa1,Epop,DIP-30975N,DIP-59969N,P07901,Q7TNS8,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Epop,Myl12b,DIP-59969N,DIP-31955N,Q7TNS8,Q3THE2,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Mtf2,Epop,DIP-56991N,DIP-59969N,Q02395,Q7TNS8,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Myh9,Epop,DIP-29546N,DIP-59969N,Q8VDD5,Q7TNS8,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Epop,Nktr,DIP-59969N,DIP-59972N,Q7TNS8,P30415,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Epop,Pcna,DIP-59969N,DIP-39409N,Q7TNS8,P17918,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Rpl23a,Epop,DIP-59973N,DIP-59969N,P62751,Q7TNS8,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Rpl28,Epop,DIP-59974N,DIP-59969N,P41105,Q7TNS8,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Epop,Rps11,DIP-59969N,DIP-59975N,Q7TNS8,P62281,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Epop,Btf3,DIP-59969N,DIP-59968N,Q7TNS8,Q64152,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Sptan1,Epop,DIP-37712N,DIP-59969N,P16546,Q7TNS8,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Epop,Sptbn1,DIP-59969N,DIP-31558N,Q7TNS8,Q62261,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Sema3a,Nrp1,DIP-59997N,DIP-39360N,O08665,P97333,MI:0407(direct interaction)|MI:0407(direct interaction),MI:0107(surface plasmon resonance)|MI:0107(surface plasmon resonance),dip-quality-status:core
Nrp1,Plxna2,DIP-39360N,DIP-32252N,P97333,P70207,MI:0407(direct interaction)|MI:0407(direct interaction),MI:0107(surface plasmon resonance)|MI:0107(surface plasmon resonance),dip-quality-status:core
Pea15a,Hk2,DIP-60009N,DIP-41484N,Q62048,O08528,MI:0915(physical association)|MI:0915(physical association),MI:0055(fluorescent resonance energy transfer)|MI:0112(ubiquitin reconstruction),dip-quality-status:core
Mecom,Fos,DIP-46516N,DIP-1066N,P14404,P01101,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tomm20,Cth,DIP-60017N,DIP-60018N,Q9DCC8,Q8VCN5,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mta2,Satb2,DIP-36630N,DIP-60021N,Q9R190,Q8VI24,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ticam1,Tbk1,DIP-60033N,DIP-29880N,Q80UF7,Q9WUN2,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ifih1,Ifih1,DIP-60085N,DIP-60085N,Q8R5F7,Q8R5F7,MI:0407(direct interaction),MI:0020(transmission electron microscopy),dip-quality-status:core
Camsap2,Camsap3,DIP-60092N,DIP-52404N,Q8C1B1,Q80VC9,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Vcp,Ufd1,DIP-29796N,DIP-60008N,Q01853,P70362,MI:0915(physical association),MI:0096(pull down),dip-quality-status:core
Fosb,Mecom,DIP-1067N,DIP-46516N,P13346,P14404,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Jun,Mecom,DIP-1068N,DIP-46516N,P05627,P14404,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Traf3,Ltbr,DIP-34050N,DIP-49695N,Q60803,P50284,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ltbr,Otud7b,DIP-49695N,DIP-60128N,P50284,B2RUR8,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Nlrp3,Pycard,DIP-60132N,DIP-27619N,Q8R4B8,Q9EPB4,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mef2c,Hipk2,DIP-49524N,DIP-31712N,Q8CFN5,Q9QZR5,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Pik3cg,Pik3r6,DIP-41862N,DIP-60179N,Q9JHG7,Q3U6Q4,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Top2a,Smarca4,DIP-40621N,DIP-59249N,Q01320,Q3TKT4,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarca4,Arid1a,DIP-59249N,DIP-58952N,Q3TKT4,A2BH40,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Dnmt3a,Dnmt3l,DIP-38005N,DIP-49029N,O88508,Q9CWR8,MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association),MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)|MI:0071(molecular sieving)|MI:0096(pull down)|MI:0114(x-ray crystallography)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Ccnd1,Cdk1,DIP-284N,DIP-38725N,P25322,P11440,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ccnd2,Cdk1,DIP-24177N,DIP-38725N,P30280,P11440,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Foxp3,Nfatc2,DIP-59739N,DIP-49476N,Q99JB6,Q60591,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Mre11a,Nbn,DIP-46803N,DIP-46804N,Q61216,Q9R207,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Cdkn2a,Sp1,DIP-24169N,DIP-35276N,Q64364,O89090,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hipk2,Map3k7,DIP-31712N,DIP-40666N,Q9QZR5,Q62073,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarca4,Smarcb1,DIP-59249N,DIP-34373N,Q3TKT4,Q9Z0H3,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Top2a,Smarcb1,DIP-40621N,DIP-34373N,Q01320,Q9Z0H3,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Pbrm1,Smarca4,DIP-48885N,DIP-59249N,Q8BSQ9,Q3TKT4,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Top2a,Pbrm1,DIP-40621N,DIP-48885N,Q01320,Q8BSQ9,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ss18,Smarca4,DIP-60230N,DIP-59249N,Q62280,Q3TKT4,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Top2a,Ss18,DIP-40621N,DIP-60230N,Q01320,Q62280,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarca4,Smarce1,DIP-59249N,DIP-39985N,Q3TKT4,O54941,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Top2a,Smarce1,DIP-40621N,DIP-39985N,Q01320,O54941,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Top2a,Arid1a,DIP-40621N,DIP-58952N,Q01320,A2BH40,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarcd1,Smarca4,DIP-33019N,DIP-59249N,Q61466,Q3TKT4,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Top2a,Smarcd1,DIP-40621N,DIP-33019N,Q01320,Q61466,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Dpf2,Smarca4,DIP-59247N,DIP-59249N,Q61103,Q3TKT4,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Dpf2,Top2a,DIP-59247N,DIP-40621N,Q61103,Q01320,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarcc1,Smarca4,DIP-39986N,DIP-59249N,P97496,Q3TKT4,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarcc1,Top2a,DIP-39986N,DIP-40621N,P97496,Q01320,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Cdkn2c,Cdk4,DIP-60250N,DIP-194N,Q60772,P30285,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Cdk4,Cdkn2a,DIP-194N,DIP-60251N,P30285,P51480,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Cdkn2b,Cdk4,DIP-60249N,DIP-194N,P55271,P30285,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Kdm1a,Ctbp1,DIP-38599N,DIP-33907N,Q6ZQ88,O88712,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Bcl10,Ripk1,DIP-60309N,DIP-34962N,Q9Z0H7,Q60855,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Zeb1,Ctbp1,DIP-60280N,DIP-33907N,Q64318,O88712,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Dnmt3a,Dnmt3a,DIP-38005N,DIP-38005N,O88508,O88508,MI:0407(direct interaction),MI:0071(molecular sieving),dip-quality-status:core
Psmc5,Sp1,DIP-35174N,DIP-35276N,P62196,O89090,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Pin1,Nanog,DIP-44280N,DIP-29932N,Q9QUR7,Q80Z64,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Pou5f1,Trim28,DIP-29931N,DIP-31477N,P20263,Q62318,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Il12a,Ebi3,DIP-60363N,DIP-60364N,P43431,O35228,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Shh,Cdon,DIP-48537N,DIP-57227N,Q62226,Q32MD9,MI:0407(direct interaction),MI:0096(pull down),dip-quality-status:core
Slc6a19,Cltrn,DIP-38102N,DIP-60420N,Q9D687,Q9ESG4,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Slc6a18,Cltrn,DIP-60421N,DIP-60420N,O88576,Q9ESG4,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Cd69,S1pr1,DIP-60425N,DIP-32248N,P37217,O08530,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Pax6,Sumo1,DIP-38879N,DIP-29278N,P63015,P63166,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Sh2d3c,Nedd9,DIP-42657N,DIP-57058N,Q9QZS8,O35177,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tert,Ctnnb1,DIP-60451N,DIP-31560N,O70372,Q02248,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Tradd,Rfk,DIP-38039N,DIP-60455N,Q3U0V2,Q8CFV9,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Cyba,Rfk,DIP-60456N,DIP-60455N,Q61462,Q8CFV9,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarca4,Trim28,DIP-59249N,DIP-31477N,Q3TKT4,Q62318,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarcc1,Trim28,DIP-39986N,DIP-31477N,P97496,Q62318,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Smarcd1,Trim28,DIP-33019N,DIP-31477N,Q61466,Q62318,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Trim28,Msh2,DIP-31477N,DIP-57027N,Q62318,P43247,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Nsd2,Hnrnpu,DIP-60452N,DIP-34257N,Q8BVE8,Q8VEK3,MI:0915(physical association),MI:0676(tandem affinity purification),dip-quality-status:core
Nsd2,Ogt,DIP-60452N,DIP-35700N,Q8BVE8,Q8CGY8,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Polr2a,Nsd2,DIP-46369N,DIP-60452N,P08775,Q8BVE8,MI:0915(physical association),MI:0676(tandem affinity purification),dip-quality-status:core
Tnfrsf1a,Rfk,DIP-34532N,DIP-60455N,P25118,Q8CFV9,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tradd,Tnfrsf1a,DIP-38039N,DIP-34532N,Q3U0V2,P25118,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Sharpin,Rbck1,DIP-49461N,DIP-59198N,Q91WA6,Q9WUB0,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Casp9,Cdon,DIP-60482N,DIP-57227N,Q8C3Q9,Q32MD9,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Vps26a,Vps35,DIP-32041N,DIP-32210N,P40336,Q9EQH3,MI:0407(direct interaction)|MI:0915(physical association),MI:0096(pull down)|MI:0096(pull down),dip-quality-status:core
Kpnb1,Dnajc1,DIP-33404N,DIP-60498N,P70168,Q61712,MI:0407(direct interaction),MI:0096(pull down),dip-quality-status:core
Chd4,Mta2,DIP-59651N,DIP-36630N,Q6PDQ2,Q9R190,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Chd4,Myc,DIP-59651N,DIP-1064N,Q6PDQ2,P01108,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Vps29,Vps35,DIP-60495N,DIP-32210N,Q9QZ88,Q9EQH3,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association),MI:0096(pull down)|MI:0065(isothermal titration calorimetry)|MI:0096(pull down),dip-quality-status:core
Eef1g,Krt17,DIP-32124N,DIP-38042N,Q9D8N0,Q9QWL7,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Eef1a1,Eef1g,DIP-46609N,DIP-32124N,P10126,Q9D8N0,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Eef1g,Eef1b2,DIP-32124N,DIP-32121N,Q9D8N0,O70251,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Krt17,Eef1a1,DIP-38042N,DIP-46609N,Q9QWL7,P10126,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Krt17,Eef1b2,DIP-38042N,DIP-32121N,Q9QWL7,O70251,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hspa5,Dnajb11,DIP-32341N,DIP-60531N,P20029,Q99KV1,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0055(fluorescent resonance energy transfer)|MI:0107(surface plasmon resonance)|MI:0880(atpase assay)|MI:0055(fluorescent resonance energy transfer),dip-quality-status:core
Rb1cc1,Atg16l1,DIP-49679N,DIP-31966N,Q9ESK9,Q8C0J2,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0676(tandem affinity purification)|MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)|MI:0096(pull down),dip-quality-status:core
Atg16l1,Atg16l1,DIP-31966N,DIP-31966N,Q8C0J2,Q8C0J2,MI:0915(physical association),MI:0096(pull down),dip-quality-status:core
Arpc5,Arpin,DIP-60589N,DIP-60588N,Q9CPW4,Q9D0A3,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Prdm16,Ehmt2,DIP-60593N,DIP-31916N,A2A935,Q9Z148,MI:0407(direct interaction),MI:0096(pull down),dip-quality-status:core
Ctbp1,Prdm16,DIP-33907N,DIP-60593N,O88712,A2A935,MI:0407(direct interaction),MI:0096(pull down),dip-quality-status:core
